player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Shamuraii,7829.633420688606,"['Heroes of Golf?', 'Team Tidehunter', 'Highly Regarded Individuals', 'Plinks of Golf?']",79,True,8000.0
Panda,7818.779920724836,"['Heroes of Golf?', ""Brit I'm a Dog, Woof! Brrr"", 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Sounding Club', ""WoT's Sounding Club"", 'Golf Tuesday?', 'Daggers in my coco', 'Team Tidehunter', 'Go play offlane']",88,True,8000.0
pG,7818.0680261695725,['Zealous Gaming'],36,True,8000.0
Scionara,7815.324250571946,"['Ensō', 'Scion and the 4 plebs', 'good for ducks, good for me', '#Packwatch']",84,True,8000.0
Holoホロ,7810.334891422583,"['Does This Game have Fall Damage?', ""Chicken Joe's Reincarnation Cult"", 'good for ducks, good for me']",45,True,8000.0
pookah,7790.476714860803,"['dXo-Warrior', 'beignet boys', 'Grillin and Chillin']",47,True,8000.0
spanky,7789.693562368639,['Team Mochi'],82,True,8000.0
yoshi,7788.155127854231,"[""Chicken Joe's Reincarnation Cult"", 'GRIN Scythe', 'GRIN Prism']",40,True,8000.0
lovell!!!!!!!!!!!!!!!!!!!,7787.0845325916325,"['Northern Hog Suckers', 'Dark Horse Tempest ', 'Soy Sauce: Revolution']",106,True,8000.0
Lake Michigan,7786.4322551931145,"['Dark Horse Tempest ', 'Soy Sauce: Revolution']",102,True,8000.0
MAQ-IQ,7784.296099398204,"['Dually Truck Hentai Warriors', 'Golf Wrensday?', 'dXo-Heroic - Mantle of Midas']",45,True,8000.0
green dragon bot,7781.396008510787,"['Heroes of Golf?', 'Waist Of Time', ""Brit I'm a Dog, Woof! Brrr"", 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Ensō', 'Helmets On', 'Gucci God', 'Waist of Time', 'Golf Tuesday?', 'Daggers in my coco', 'Go play offlane', '7dark Thirty']",123,True,8000.0
Marooniii,7770.512608799813,"['Dually Truck Hentai Warriors', 'Dually Truck Diesel Drinkers', 'Dually Truck RoadRunners', 'Radiance invoker']",38,True,8000.0
Sync,7768.311967025229,['Calamity Crew'],37,True,8000.0
PizzaJr,7767.959795369209,"['Grillin and Chillin', 'Ensō', 'Soy Sauce: Revolution', 'Foebe Phighters']",53,True,8000.0
JuicyPanda,7765.879864292366,"['Heroes of Golf?', 'Waist of Time', 'Daggers in my coco', 'Highly Regarded Individuals', 'Plinks of Golf?']",71,True,8000.0
Erock,7752.18337888012,"['Heroes of Golf?', 'Ensō', 'Does This Game have Fall Damage?', 'Highly Regarded Individuals', 'Plinks of Golf?']",58,True,8000.0
JJnok,7743.914375926962,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Slugcats']",73,True,8000.0
dnjiii,7735.903930585088,"['WAP', 'GRIN Fury', 'Dually Truck RoadRunners']",41,True,8000.0
Lorenzo,7729.978728264154,"['Coked up (cute) Kobolds', 'Average Krill Eaters', 'Ape Express', 'Team Krill Eater']",54,True,8000.0
Fav,7727.668535988647,"['Ensō', 'dXo-Champion', 'Digital Habitat']",74,True,8000.0
han,7719.899950522006,['Team Mochi'],101,True,8000.0
Edge Tember,7710.444497378743,"['Heroes of Golf?', 'Comrades of Golf?', 'Golf Monday?', 'Highly Regarded Individuals']",97,True,8000.0
Angrysun,7702.10833857579,"['Dark Horse Storm', 'Dark Horse Tempest ', 'Golf Monday?', 'Dark Horse Vitality']",101,True,8000.0
4thwrldmrshl,7694.7489009833525,"['Conquerors of the Island in the Sun', 'Ensō', 'The Bathtub Club', 'dXo-Rejects', 'The Rejects']",81,True,8000.0
Egotistical Confidence,7691.122884298917,"['Simple Chemistry', 'dXo-Rejects', 'The Rejects', 'Scion and the 4 plebs', 'SpookyScarySkeletons', 'good for ducks, good for me']",101,True,8000.0
malibu,7676.781422851067,"['animal enclosure', 'Honey Beesports', 'Team Samsara', '2FrogsSoftware', 'GRIN Fury']",53,True,8000.0
JzaR,7663.058252167648,"['sheeesh', 'SMD9813', 'Aogiri Tree', 'DinoMight', ""Daddy's ENGORGED Dictatorship""]",95,True,8000.0
Tempest嵐,7662.612680307309,['Calamity Crew'],47,True,8000.0
GNX,7657.515559272503,"['OTF', 'Team Samsara', 'Rod of a Toast', 'Team Ligma']",72,True,8000.0
printer,7641.857101901138,['Savage Spirits'],90,True,8000.0
SaulGinnis,7609.471774134961,"['Wasted Sad & Suicidal', 'Wasted.Creature', 'Wasted with Clare in the Finals', 'We Scale Late ', 'Garrett and Friends']",77,True,7500.0
mode: that brother needs help,7539.705741445697,"['TEAM POLAND', 'Garrett and Friends', 'Wasted Sad & Suicidal', 'Wasted.Creature']",60,True,7400.0
h!,7534.139703720972,['Wasted.Creature'],22,True,7500.0
Clare: Reloaded,7532.535601517524,"['Wasted Sad & Suicidal', 'Wasted.Creature']",64,True,7400.0
ooo,7529.701126832033,"['DinoMight', 'Gucci God', 'Drip or Drown', '#1 Yami Glazers']",80,True,7300.0
bombogenesis day,7523.537600924687,"['Wasted.Creature', 'Wasted with Clare in the Finals', 'Foebe Phighters', 'We Scale Late ', 'Garrett and Friends']",64,True,7400.0
Rusty Shackleford,7491.1500159505185,"['Heroes of Golf?', 'Golf Monday?', 'Highly Regarded Individuals', 'Plinks of Golf?']",98,True,7500.0
captainlittledinky,7469.339136402072,"['Nocturnal Rainbow', 'Salt the Earth']",32,True,7400.0
kden,7466.414768392821,"['Baja Blasters', 'beignet boys', 'Soy Sauce: Revolution']",51,True,7400.0
@CrasheroniDota,7448.179181023928,"['Dark Horse Tempest ', 'Max Retaliate']",39,True,7400.0
hungryphenix,7446.859267473739,['Team Mochi'],99,True,7300.0
waffz,7445.879382856462,"['Flex Offenders', 'Glizzy Gobblers']",37,True,7400.0
Merc-Ury,7443.533818435716,"['Does This Game have Fall Damage?', 'Ensō']",74,True,7400.0
Big Red,7402.590926674616,"['Does This Game have Fall Damage?', 'Ensō']",76,True,7300.0
Imphatic,7397.311760885999,"['Nocturnal Rainbow', 'Salt the Earth']",22,True,7300.0
Someoneskid,7395.381647479205,['SMD9813'],25,True,7400.0
ShadowAce,7376.696739029344,"['We Scale Late ', 'Wasted.Creature']",24,True,7300.0
lostperson,7366.170470746853,"['Merrill Howard Kalin Fan Club', ""'Nanner Grippers"", 'Team Ligma']",39,True,7500.0
C0re,7359.483900678101,"['Heroes of Golf?', 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Coked up (cute) Kobolds', ""Harambe's Homies"", 'Simple Chemistry', 'DinoMight', 'Slow Twitch Muscle Fibers', 'Jukes Angels']",54,True,7400.0
Potatoes~~~~,7358.918113392449,['Wasted.Creature'],20,True,7300.0
Chubbs,7352.580606609865,"['Dually Truck Hentai Warriors', 'GRIN Scythe', 'Dually Truck RoadRunners']",39,True,7500.0
Radiofoot,7347.311516378172,"['Island in the Winter Sun', 'Helmets On', 'Team Samsara']",91,True,7500.0
Last Son of Krypton,7344.628368940866,['Savage Spirits'],79,True,7500.0
I Am Steve,7336.747791492626,"['WAP', 'texts go green']",28,True,7400.0
Welshy,7331.895128689124,['Pot Of Greed'],20,True,7400.0
"JerBear, Today's Word: 得閒飲茶",7317.984997456085,"['Dark Horse Tempest ', 'Jason Vas Foundation Picks for the Cure', 'Max Retaliate']",23,True,7300.0
Achilles,7305.3544315907875,['7dark Thirty'],33,True,7400.0
Ouchkabibbles,7297.26700100963,"[""Helmet's On"", 'Helmets On']",85,True,7400.0
Son,7291.875800148173,"['I am > I was', 'beignet boys', 'Scion and the 4 plebs', '10toes', 'Savage Spirits']",39,True,7300.0
Urbow,7286.241383672506,"['The Whimsical Afrasians', 'Sounding Club', ""Harambe's Homies"", 'Los Animales de Golf?', 'Nocturnal Rainbow', 'Digital Habitat', 'Team Ligma']",93,True,7200.0
we dont drink 32s,7284.092575247905,"['Sounding Club', 'tainted gluggers', 'mosin on valley', '#Packwatch']",27,True,7200.0
butthealth,7278.692378830142,"['Dark Horse Storm', ""'Nanner Grippers"", 'Rats and Bunnies', 'Nameless', 'OTF', 'SMD9813', 'Waist of Golf?', ""Daddy's ENGORGED Dictatorship"", 'Savage Sabers', 'GRIN Smoke']",125,True,7600.0
Plate,7251.436853932594,"[""'Nanner Grippers"", 'GRIN Prism', 'Sounding Club', 'Savage Spirits']",20,True,7300.0
Hartrun7,7239.512603461989,"['Gucci Coffin', 'PSGS', 'mosin on valley', ""Harambe's Homies""]",31,True,7200.0
Daddy Odin,7239.509360248035,"['Savage Saints', 'Rats and Bunnies', 'Conquerors of the Island in the Sun', 'Ensō', 'Island in the Winter Sun', 'Baja Blasters', 'The Rejects', 'Calamity Crew']",89,True,7500.0
(BP)Bluntman(Chronic),7238.473514054779,"['OTF', 'Team Samsara']",28,True,7400.0
phoenix,7236.69796836624,"['GRIN Scythe', 'GRIN Prism']",60,True,7400.0
Time's,7235.875869168982,['dXo-Rejects'],22,True,7300.0
mr worldwide,7233.960601211823,"['Coked up (cute) Kobolds', 'Jukes Angels', 'Digital Habitat']",45,True,7300.0
DH. Jukester,7231.1658329769625,"['Golf Monday?', 'Coked up (cute) Kobolds', 'I am > I was', 'Nat 20', 'Bubble Team', 'Digital Habitat', '10toes', 'Jukes Angels']",73,True,7300.0
Nigerian White,7227.758166171309,['Zealous Gaming'],36,True,7300.0
cartographer,7227.7231843272875,"['Coked up (cute) Kobolds', 'Average Krill Eaters', 'Los Animales de Golf?', 'Does This Game have Fall Damage?', 'Digital Habitat', 'Team Krill Eater', 'Go play offlane', 'Calamity Crew']",96,True,7300.0
K1ra,7223.028368520783,"['Ensō', '1-800-QQ']",35,False,7069.2307692307695
Bernie Sanders,7219.882703161376,"['Golf Monday?', 'Comrades of Golf?', 'Los Animales de Golf?', 'Highly Regarded Individuals', 'Batchesters of Golf?']",89,True,7200.0
Sultan of Canada,7212.260863713018,"['Golf Monday?', 'Rats and Bunnies', 'Dota Under the Influence', 'Yoinky Sploinky', ""Daddy's ENGORGED Dictatorship""]",49,True,7400.0
Russ,7207.932639179758,['SpookyScarySkeletons'],21,True,7200.0
Aynek,7205.86041617552,['SpookyScarySkeletons'],23,True,7200.0
Marine,7203.644108403641,"['OTF', 'Team Ligma']",22,True,7300.0
twubz,7199.856114142834,['Merrill Howard Kalin Fan Club'],39,True,7300.0
Ctrl-,7193.275859074013,"['Ape Express', 'Ensō']",29,True,7200.0
Thugpot@to01,7192.048862908003,"['Coked up (cute) Kobolds', 'Does This Game have Fall Damage?', 'dXo-Champion', '1-800-QQ']",40,True,7100.0
please immortal,7187.810549060404,"['The Whimsical Afrasians', 'Sounding Club', 'I am > I was', 'Team Samsara', 'Does This Game have Fall Damage?']",37,False,7078.571428571428
KayceeMJ,7176.7152135659235,"['Dark Horse Tempest ', 'GRIN Scythe', 'GRIN Prism', 'Nameless']",77,True,7200.0
