player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Big Red,7338.375818067811,"['Does This Game have Fall Damage?', 'Ensō']",76,True,7300.0
Merc-Ury,7334.843004146547,"['Does This Game have Fall Damage?', 'Ensō']",74,True,7400.0
Marooniii,7334.076216677375,"['Dually Truck Hentai Warriors', 'Dually Truck Diesel Drinkers', 'Dually Truck RoadRunners', 'Radiance invoker']",38,True,8000.0
Ouchkabibbles,7302.476446661638,"[""Helmet's On"", 'Helmets On']",85,True,7400.0
Stretchy Arms,7302.390356307529,['Helmets On'],87,True,7100.0
Radiofoot,7299.539171205458,"['Island in the Winter Sun', 'Helmets On', 'Team Samsara']",91,True,7500.0
Dr. Changsteen,7289.851145138863,"['DinoMight', ""Helmet's On"", 'Helmets On']",91,True,6200.0
Urbow,7279.43984797251,"['The Whimsical Afrasians', 'Sounding Club', ""Harambe's Homies"", 'Los Animales de Golf?', 'Nocturnal Rainbow', 'Digital Habitat', 'Team Ligma']",93,True,7200.0
Morning,7277.626925508085,"['animal enclosure', 'Dota Under the Influence', 'GRIN Fury']",21,True,8000.0
"JerBear, Today's Word: 得閒飲茶",7275.515332670559,"['Dark Horse Tempest ', 'Jason Vas Foundation Picks for the Cure', 'Max Retaliate']",23,True,7300.0
Someoneskid,7275.003973179925,['SMD9813'],25,True,7400.0
Thugpot@to01,7274.966546528393,"['Coked up (cute) Kobolds', 'Does This Game have Fall Damage?', 'dXo-Champion', '1-800-QQ']",40,True,7100.0
pookah,7269.629118351847,"['dXo-Warrior', 'beignet boys', 'Grillin and Chillin']",47,True,8000.0
MAQ-IQ,7265.865608554242,"['Dually Truck Hentai Warriors', 'Golf Wrensday?', 'dXo-Heroic - Mantle of Midas']",45,True,8000.0
yoshi,7236.008997621385,"[""Chicken Joe's Reincarnation Cult"", 'GRIN Scythe', 'GRIN Prism']",40,True,8000.0
Son,7235.878315022255,"['I am > I was', 'beignet boys', 'Scion and the 4 plebs', '10toes', 'Savage Spirits']",39,True,7300.0
C0re,7233.01344339222,"['Heroes of Golf?', 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Coked up (cute) Kobolds', ""Harambe's Homies"", 'Simple Chemistry', 'DinoMight', 'Slow Twitch Muscle Fibers', 'Jukes Angels']",54,True,7400.0
pG,7228.119334214616,['Zealous Gaming'],36,True,8000.0
GlHf,7208.545245317487,"['beignet boys', 'Grillin and Chillin', 'Cerviche Molotov']",32,False,6825.0
Hartrun7,7198.46949842121,"['Gucci Coffin', 'PSGS', 'mosin on valley', ""Harambe's Homies""]",31,True,7200.0
dnjiii,7187.468590081358,"['WAP', 'GRIN Fury', 'Dually Truck RoadRunners']",41,True,8000.0
Ctrl-,7163.249881915431,"['Ape Express', 'Ensō']",29,True,7200.0
JzaR,7151.238590917011,"['sheeesh', 'SMD9813', 'Aogiri Tree', 'DinoMight', ""Daddy's ENGORGED Dictatorship""]",95,True,8000.0
I Am Steve,7148.836888785603,"['WAP', 'texts go green']",28,True,7400.0
Profanity,7148.072849195885,['The Rejects'],20,True,7100.0
