pid,player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr,rank_confidence
216650131,SaulGinnis,7629.09,"['Wasted Sad & Suicidal', 'Wasted.Creature', 'Wasted with Clare in the Finals', 'We Scale Late ', 'Garrett and Friends']",77,True,7500.0,0.77
184219860,Antivirus,7625.82,"['Does This Game have Fall Damage?', 'Emotional Damage']",30,True,8000.0,0.3
135662764,Jax,7620.54,"['Scion and the 4 plebs', 'good for ducks, good for me']",37,True,8000.0,0.37
136477138,bombogenesis day,7616.07,"['Wasted.Creature', 'Wasted with Clare in the Finals', 'Foebe Phighters', 'We Scale Late ', 'Garrett and Friends']",64,True,7400.0,0.64
166882602,Bagged Milk,7614.81,"['Baja Blasters', 'beignet boys']",27,True,8000.0,0.27
87841541,Banach,7614.42,"['Heroes of Golf?', ""Brit I'm a Dog, Woof! Brrr"", 'Golf Monday?', 'Twinks and The Twinker', 'Golf Tuesday?']",80,True,6500.0,0.8
35592634,de la Heeba,7610.03,['Jukes Angels'],25,True,8000.0,0.25
92009786,ol' stinky,7606.29,"[""Daddy's ENGORGED Dictatorship"", 'sheeesh']",21,True,8000.0,0.21
125919344,˚+˚+˚+˚+˚+˚,7595.72,['Dually Truck Hentai Warriors'],21,True,8000.0,0.21
69243302,h!,7592.48,['Wasted.Creature'],22,True,7500.0,0.22
116468025,Shamuraii,7591.35,"['Heroes of Golf?', 'Team Tidehunter', 'Highly Regarded Individuals', 'Plinks of Golf?']",79,True,8000.0,0.79
127139604,Scionara,7582.08,"['Ensō', 'Scion and the 4 plebs', 'good for ducks, good for me', '#Packwatch']",84,True,8000.0,0.84
173911834,Fathomorg,7580.53,"['Does This Game have Fall Damage?', 'WeLostThisBros', 'Love & Peace (Right Version)', 'Emotional Damage']",62,True,8000.0,0.62
81433630,BORK,7563.35,"['Flex Offenders', 'Glizzy Gobblers']",37,True,8000.0,0.37
124169575,spanky,7560.05,['Team Mochi'],82,True,8000.0,0.82
58405454,Luigi Mangione,7559.05,"['Heroes of Golf?', 'Ape Express', 'mosin on valley']",33,True,8000.0,0.33
100999890,ⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧ,7558.26,"['Flex Offenders', 'Glizzy Gobblers']",39,True,8000.0,0.39
81412825,poogie,7558.26,"['Flex Offenders', 'Glizzy Gobblers']",39,True,8000.0,0.39
65444229,Dr. UndoneJin,7557.83,"['Team awesome', 'Sounding Club', 'Nocturnal Rainbow', 'Salt the Earth']",52,True,8000.0,0.52
211027462,Holoホロ,7542.59,"['Does This Game have Fall Damage?', ""Chicken Joe's Reincarnation Cult"", 'good for ducks, good for me']",45,True,8000.0,0.45
87485908,lovell!!!!!!!!!!!!!!!!!!!,7540.04,"['Northern Hog Suckers', 'Dark Horse Tempest ', 'Soy Sauce: Revolution']",106,True,8000.0,1.0
95023636,Lake Michigan,7539.78,"['Dark Horse Tempest ', 'Soy Sauce: Revolution']",102,True,8000.0,1.0
210193519,Brok3n-,7537.26,"['Scion and the 4 plebs', 'Aogiri Tree', 'Go play offlane']",42,True,8000.0,0.42
167390514,ShadowAce,7522.48,"['We Scale Late ', 'Wasted.Creature']",24,True,7300.0,0.24
152072189,Imphatic,7520.07,"['Nocturnal Rainbow', 'Salt the Earth']",22,True,7300.0,0.22
182969268,Blocka™,7511.59,"['DinoMight', 'Jason Vas Foundation Picks for the Cure']",32,True,8000.0,0.32
202345767,Spiroar,7503.45,"['Ensō', 'Dota Under the Influence', 'Team Krill Eater']",28,True,8000.0,0.28
117711668,Angrysun,7501.55,"['Dark Horse Storm', 'Dark Horse Tempest ', 'Golf Monday?', 'Dark Horse Vitality']",101,True,8000.0,1.0
165060941,KILLAYOUA,7499.22,"['Gucci Coffin', 'Jukes Angels']",27,True,8000.0,0.27
125467075,han,7492.82,['Team Mochi'],101,True,8000.0,1.0
122002400,hungryphenix,7489.51,['Team Mochi'],99,True,7300.0,0.99
239724237,Excaliburracuda,7489.45,"[""Brit I'm a Dog, Woof! Brrr"", 'PSGS', 'Pot Of Greed']",34,True,8000.0,0.34
189671530,bulbi,7485.79,"['I am > I was', 'Pot Of Greed', 'WAP', 'Digital Habitat', 'Aogiri Tree', '10toes']",35,True,8000.0,0.35
40910197,FLYDOM,7484.11,['Team Mochi'],99,True,6600.0,0.99
144699082,@CrasheroniDota,7482.15,"['Dark Horse Tempest ', 'Max Retaliate']",39,True,7400.0,0.39
171236062,lysergic acid diethylamide,7471.34,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Dually Truck RoadRunners']",29,True,8000.0,0.29
134156143,Potatoes~~~~,7466.93,['Wasted.Creature'],20,True,7300.0,0.2
241370187,Peter Buttermilk,7466.87,['New Rebellion'],20,False,7000.0,0.2
121233387,kden,7462.11,"['Baja Blasters', 'beignet boys', 'Soy Sauce: Revolution']",51,True,7400.0,0.51
492401757,Egotistical Confidence,7459.62,"['Simple Chemistry', 'dXo-Rejects', 'The Rejects', 'Scion and the 4 plebs', 'SpookyScarySkeletons', 'good for ducks, good for me']",101,True,8000.0,1.0
429430851,pookah,7457.21,"['dXo-Warrior', 'beignet boys', 'Grillin and Chillin']",47,True,8000.0,0.47
150457215,captainlittledinky,7454.66,"['Nocturnal Rainbow', 'Salt the Earth']",32,True,7400.0,0.32
393946176,JuicyPanda,7449.98,"['Heroes of Golf?', 'Waist of Time', 'Daggers in my coco', 'Highly Regarded Individuals', 'Plinks of Golf?']",71,True,8000.0,0.71
93641593,Marooniii,7449.19,"['Dually Truck Hentai Warriors', 'Dually Truck Diesel Drinkers', 'Dually Truck RoadRunners', 'Radiance invoker']",38,True,8000.0,0.38
124130900,MAQ-IQ,7444.63,"['Dually Truck Hentai Warriors', 'Golf Wrensday?', 'dXo-Heroic - Mantle of Midas']",45,True,8000.0,0.45
46561667,we dont drink 32s,7440.86,"['Sounding Club', 'tainted gluggers', 'mosin on valley', '#Packwatch']",27,True,7200.0,0.27
158863043,waffz,7439.62,"['Flex Offenders', 'Glizzy Gobblers']",37,True,7400.0,0.37
86493830,Icarus,7439.22,"['Does This Game have Fall Damage?', 'Plinks of Golf?']",66,True,6600.0,0.66
136072563,KayceeMJ,7439.2,"['Dark Horse Tempest ', 'GRIN Scythe', 'GRIN Prism', 'Nameless']",77,True,7200.0,0.77
66455933,Erock,7423.73,"['Heroes of Golf?', 'Ensō', 'Does This Game have Fall Damage?', 'Highly Regarded Individuals', 'Plinks of Golf?']",58,True,8000.0,0.58
109963901,K1ra,7421.16,"['Ensō', '1-800-QQ']",35,False,7069.2307692307695,0.35
173365627,Fav,7416.45,"['Ensō', 'dXo-Champion', 'Digital Habitat']",74,True,8000.0,0.74
116198402,PizzaJr,7410.97,"['Grillin and Chillin', 'Ensō', 'Soy Sauce: Revolution', 'Foebe Phighters']",53,True,8000.0,0.53
114111470,Edge Tember,7409.91,"['Heroes of Golf?', 'Comrades of Golf?', 'Golf Monday?', 'Highly Regarded Individuals']",97,True,8000.0,0.97
72046975,Rusty Shackleford,7407.8,"['Heroes of Golf?', 'Golf Monday?', 'Highly Regarded Individuals', 'Plinks of Golf?']",98,True,7500.0,0.98
90740716,Bernie Sanders,7385.06,"['Golf Monday?', 'Comrades of Golf?', 'Los Animales de Golf?', 'Highly Regarded Individuals', 'Batchesters of Golf?']",89,True,7200.0,0.89
171998081,TornadO,7384.92,['Team Mochi'],65,False,6054.545454545455,0.65
182263270,yoshi,7359.57,"[""Chicken Joe's Reincarnation Cult"", 'GRIN Scythe', 'GRIN Prism']",40,True,8000.0,0.4
128999026,Ouchkabibbles,7351.01,"[""Helmet's On"", 'Helmets On']",85,True,7400.0,0.85
52558152,Stretchy Arms,7348.43,['Helmets On'],87,True,7100.0,0.87
836834145,Morning,7347.84,"['animal enclosure', 'Dota Under the Influence', 'GRIN Fury']",21,True,8000.0,0.21
33429859,Radiofoot,7346.65,"['Island in the Winter Sun', 'Helmets On', 'Team Samsara']",91,True,7500.0,0.91
80518956,Big Red,7346.46,"['Does This Game have Fall Damage?', 'Ensō']",76,True,7300.0,0.76
272264716,Merc-Ury,7341.37,"['Does This Game have Fall Damage?', 'Ensō']",74,True,7400.0,0.74
128672357,"JerBear, Today's Word: 得閒飲茶",7340.81,"['Dark Horse Tempest ', 'Jason Vas Foundation Picks for the Cure', 'Max Retaliate']",23,True,7300.0,0.23
242151708,Sync,7340.46,['Calamity Crew'],37,True,8000.0,0.37
52719223,Dr. Changsteen,7334.02,"['DinoMight', ""Helmet's On"", 'Helmets On']",91,True,6200.0,0.91
59555211,dnjiii,7310.07,"['WAP', 'GRIN Fury', 'Dually Truck RoadRunners']",41,True,8000.0,0.41
207661840,please immortal,7307.26,"['The Whimsical Afrasians', 'Sounding Club', 'I am > I was', 'Team Samsara', 'Does This Game have Fall Damage?']",37,False,7078.571428571428,0.37
148359584,Someoneskid,7293.05,['SMD9813'],25,True,7400.0,0.25
